ensembl_id,most_likely_path,max_PP,gene_symbol
ENSG00000001084,Down-Up-Down,0.678,GCLC
ENSG00000004777,Up-Down-Up,0.5031,ARHGAP33
ENSG00000005075,Up-Down-Up,0.5205,POLR2J
ENSG00000005206,Up-Down-Up,0.5355,SPPL2B
ENSG00000006025,Up-Down-Up,0.5299,OSBPL7
ENSG00000006118,Up-Down-Up,0.515,TMEM132A
ENSG00000006282,Up-Down-Up,0.5085,SPATA20
ENSG00000006327,Up-Down-Up,0.5369,TNFRSF12A
ENSG00000006468,Down-Up-Down,0.5051,ETV1
ENSG00000006634,Down-Up-Down,0.5124,DBF4
ENSG00000007202,Down-Down-Up,0.5,KIAA0100
ENSG00000007376,Up-Down-Up,0.5349,RPUSD1
ENSG00000007384,Up-Down-Up,0.726,RHBDF1
ENSG00000007520,Up-Down-Up,0.5534,TSR3
ENSG00000007541,Up-Down-Up,0.6135,PIGQ
ENSG00000008324,Down-Down-Up,0.5138,SS18L2
ENSG00000008710,Up-Down-Up,0.7133,PKD1
ENSG00000010322,Up-Down-Up,0.6419,NISCH
ENSG00000011132,Up-Down-Up,0.5201,APBA3
ENSG00000011426,Down-Up-Down,0.5006,ANLN
ENSG00000013306,Up-Down-Up,0.5182,SLC25A39
ENSG00000021574,Down-Up-Down,0.5099,SPAST
ENSG00000023445,Down-Up-Down,0.5356,BIRC3
ENSG00000023608,Down-Up-Down,0.5205,SNAPC1
ENSG00000023909,Down-Up-Down,0.7484,GCLM
ENSG00000024526,Down-Up-Down,0.6514,DEPDC1
ENSG00000025796,Down-Up-Down,0.5074,SEC63
ENSG00000030582,Up-Down-Up,0.5115,GRN
ENSG00000032444,Up-Down-Up,0.501,PNPLA6
ENSG00000039650,Up-Down-Up,0.6357,PNKP
ENSG00000040275,Down-Up-Down,0.5034,SPDL1
ENSG00000044574,Down-Up-Down,0.5311,HSPA5
ENSG00000051523,Up-Down-Up,0.5197,CYBA
ENSG00000057704,Up-Down-Up,0.5062,TMCC3
ENSG00000058453,Up-Down-Up,0.5001,CROCC
ENSG00000059122,Up-Down-Up,0.6084,FLYWCH1
ENSG00000059769,Down-Up-Down,0.5337,DNAJC25
ENSG00000061938,Up-Down-Up,0.5613,TNK2
ENSG00000062282,Up-Down-Up,0.5007,DGAT2
ENSG00000062650,Down-Up-Down,0.5005,WAPL
ENSG00000062822,Up-Down-Up,0.5084,POLD1
ENSG00000063177,Up-Down-Up,0.5014,RPL18
ENSG00000063660,Up-Down-Up,0.5227,GPC1
ENSG00000064042,Down-Up-Down,0.5379,LIMCH1
ENSG00000064687,Up-Down-Up,0.5408,ABCA7
ENSG00000065054,Up-Up-Down,0.5198,SLC9A3R2
